Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2022/09/07 09:51,25.4,53,15.2,25.4
2022/09/07 10:01,25.4,53,15.2,25.4
2022/09/07 10:06,25.4,53,15.2,25.4
2022/09/07 10:11,25.4,53,15.2,25.4
2022/09/07 10:16,25.4,53,15.2,25.4
2022/09/07 10:21,25.4,53,15.2,25.4
2022/09/07 10:26,25.3,53,15.1,25.3
2022/09/07 10:31,25.4,53,15.2,25.4
2022/09/07 10:36,25.4,53,15.2,25.4
2022/09/07 10:41,25.4,53,15.2,25.4
2022/09/07 10:46,25.4,53,15.2,25.4
2022/09/07 10:51,25.4,53,15.2,25.4
2022/09/07 10:56,25.4,53,15.2,25.4
2022/09/07 11:01,25.4,53,15.2,25.4
2022/09/07 11:06,25.4,53,15.2,25.4
2022/09/07 11:11,25.4,53,15.2,25.4
2022/09/07 11:16,25.5,53,15.2,25.5
2022/09/07 11:21,25.5,53,15.2,25.5
2022/09/07 11:26,25.5,53,15.2,25.5
2022/09/07 11:31,25.5,53,15.2,25.5
2022/09/07 11:36,25.6,53,15.3,25.6
2022/09/07 11:41,25.5,53,15.2,25.5
2022/09/07 11:46,25.6,53,15.3,25.6
2022/09/07 11:51,25.5,53,15.2,25.5
2022/09/07 11:56,25.6,53,15.3,25.6
2022/09/07 12:01,25.6,53,15.3,25.6
2022/09/07 12:06,25.6,52,15.0,25.6
2022/09/07 12:11,25.6,52,15.0,25.6
2022/09/07 12:16,25.6,52,15.0,25.6
2022/09/07 12:21,25.6,52,15.0,25.6
2022/09/07 12:26,25.6,52,15.0,25.6
2022/09/07 12:31,25.6,52,15.0,25.6
2022/09/07 12:36,25.7,52,15.1,25.7
2022/09/07 12:41,25.7,52,15.1,25.7
2022/09/07 12:46,25.7,52,15.1,25.7
2022/09/07 12:51,25.8,52,15.2,25.8
2022/09/07 12:56,25.8,52,15.2,25.8
2022/09/07 13:01,25.8,52,15.2,25.8
2022/09/07 13:06,25.9,52,15.3,25.9
2022/09/07 13:11,25.9,52,15.3,25.9
2022/09/07 13:16,25.8,51,14.9,25.8
2022/09/07 13:21,25.9,51,15.0,25.9
2022/09/07 13:26,25.9,51,15.0,25.9
2022/09/07 13:31,25.8,51,14.9,25.8
2022/09/07 13:36,25.9,51,15.0,25.9
2022/09/07 13:41,25.9,51,15.0,25.9
2022/09/07 13:46,25.9,51,15.0,25.9
2022/09/07 13:51,25.9,51,15.0,25.9
2022/09/07 13:56,25.9,51,15.0,25.9
2022/09/07 14:01,25.9,51,15.0,25.9
2022/09/07 14:06,25.9,51,15.0,25.9
2022/09/07 14:11,25.9,51,15.0,25.9
2022/09/07 14:16,25.9,51,15.0,25.9
2022/09/07 14:21,25.9,51,15.0,25.9
2022/09/07 14:26,25.8,51,14.9,25.8
2022/09/07 14:31,25.9,51,15.0,25.9
2022/09/07 14:36,25.9,51,15.0,25.9
2022/09/07 14:41,25.9,50,14.7,25.9
2022/09/07 14:46,25.9,50,14.7,25.9
2022/09/07 14:51,25.8,50,14.6,25.8
2022/09/07 14:56,25.9,50,14.7,25.9
2022/09/07 15:01,25.9,50,14.7,25.9
2022/09/07 15:06,25.9,50,14.7,25.9
2022/09/07 15:11,25.8,50,14.6,25.8
2022/09/07 15:16,25.9,50,14.7,25.9
2022/09/07 15:21,25.9,50,14.7,25.9
2022/09/07 15:26,25.9,50,14.7,25.9
2022/09/07 15:31,25.9,50,14.7,25.9
