Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2022/09/12 19:51,21.6,50,10.8,21.6
2022/09/12 19:56,21.3,52,11.1,21.3
2022/09/12 20:01,21.1,52,10.9,21.1
2022/09/12 20:06,21.0,53,11.1,21.0
2022/09/12 20:11,20.8,53,10.9,20.8
2022/09/12 20:16,20.6,54,11.0,20.6
2022/09/12 20:21,20.5,55,11.2,20.5
2022/09/12 20:26,20.3,55,11.0,20.3
2022/09/12 20:31,20.1,56,11.1,20.1
2022/09/12 20:36,20.0,56,11.0,20.0
2022/09/12 20:41,19.8,57,11.1,19.8
2022/09/12 20:46,19.6,57,10.9,19.6
2022/09/12 20:51,19.5,58,11.0,19.5
2022/09/12 20:56,19.4,58,10.9,19.4
2022/09/12 21:01,19.3,58,10.9,19.3
2022/09/12 21:06,19.2,58,10.8,19.2
2022/09/12 21:11,19.1,59,10.9,19.1
2022/09/12 21:16,19.0,59,10.8,19.0
2022/09/12 21:21,18.9,59,10.7,18.9
2022/09/12 21:26,18.8,59,10.6,18.8
2022/09/12 21:31,18.7,59,10.5,18.7
2022/09/12 21:36,18.7,59,10.5,18.7
2022/09/12 21:41,18.6,59,10.5,18.6
2022/09/12 21:46,18.5,59,10.4,18.5
2022/09/12 21:51,18.5,59,10.4,18.5
2022/09/12 21:56,18.4,59,10.3,18.4
2022/09/12 22:01,18.3,59,10.2,18.3
2022/09/12 22:06,18.3,60,10.4,18.3
2022/09/12 22:11,18.3,60,10.4,18.3
2022/09/12 22:16,18.3,60,10.4,18.3
2022/09/12 22:21,18.3,60,10.4,18.3
2022/09/12 22:26,18.2,61,10.6,18.2
2022/09/12 22:31,18.2,61,10.6,18.2
2022/09/12 22:36,18.1,62,10.7,18.1
2022/09/12 22:41,18.0,63,10.9,18.0
2022/09/12 22:46,17.9,64,11.0,17.9
2022/09/12 22:51,17.8,64,10.9,17.8
2022/09/12 22:56,17.7,64,10.8,17.7
2022/09/12 23:01,17.7,64,10.8,17.7
2022/09/12 23:06,17.6,65,11.0,17.6
2022/09/12 23:11,17.5,65,10.9,17.5
2022/09/12 23:16,17.4,66,11.0,17.4
2022/09/12 23:21,17.3,66,10.9,17.3
2022/09/12 23:26,17.3,67,11.1,17.3
2022/09/12 23:31,17.1,67,10.9,17.1
2022/09/12 23:36,17.0,67,10.9,17.0
2022/09/12 23:41,16.9,68,11.0,16.9
2022/09/12 23:46,16.9,68,11.0,16.9
2022/09/12 23:51,16.8,68,10.9,16.8
2022/09/12 23:56,16.8,68,10.9,16.8
2022/09/13 00:01,16.7,68,10.8,16.7
2022/09/13 00:06,16.6,68,10.7,16.6
2022/09/13 00:11,16.5,68,10.6,16.5
2022/09/13 00:16,16.5,68,10.6,16.5
2022/09/13 00:21,16.6,68,10.7,16.6
2022/09/13 00:26,16.7,68,10.8,16.7
2022/09/13 00:31,16.7,67,10.6,16.7
2022/09/13 00:36,16.7,67,10.6,16.7
2022/09/13 00:41,16.7,68,10.8,16.7
2022/09/13 00:46,16.7,68,10.8,16.7
2022/09/13 00:51,16.5,68,10.6,16.5
2022/09/13 00:56,16.4,69,10.7,16.4
2022/09/13 01:01,16.2,69,10.5,16.2
2022/09/13 01:06,16.0,70,10.6,16.0
2022/09/13 01:11,16.0,70,10.6,16.0
2022/09/13 01:16,15.8,70,10.4,15.8
2022/09/13 01:21,15.8,71,10.6,15.8
2022/09/13 01:26,15.8,72,10.8,15.8
2022/09/13 01:31,15.7,72,10.7,15.7
2022/09/13 01:36,15.7,71,10.5,15.7
2022/09/13 01:41,15.7,71,10.5,15.7
2022/09/13 01:46,15.6,72,10.6,15.6
2022/09/13 01:51,15.6,72,10.6,15.6
2022/09/13 01:56,15.5,72,10.5,15.5
2022/09/13 02:01,15.4,72,10.4,15.4
2022/09/13 02:06,15.4,73,10.6,15.4
2022/09/13 02:11,15.3,73,10.5,15.3
2022/09/13 02:16,15.3,73,10.5,15.3
2022/09/13 02:21,15.2,74,10.6,15.2
2022/09/13 02:26,15.2,75,10.8,15.2
2022/09/13 02:31,15.1,74,10.5,15.1
2022/09/13 02:36,15.1,74,10.5,15.1
2022/09/13 02:41,15.1,75,10.7,15.1
2022/09/13 02:46,15.1,74,10.5,15.1
2022/09/13 02:51,15.2,75,10.8,15.2
2022/09/13 02:56,15.2,74,10.6,15.2
2022/09/13 03:01,15.2,74,10.6,15.2
2022/09/13 03:06,15.3,74,10.7,15.3
2022/09/13 03:11,15.5,74,10.9,15.5
2022/09/13 03:16,15.6,74,11.0,15.6
2022/09/13 03:21,15.7,74,11.1,15.7
2022/09/13 03:26,15.7,73,10.9,15.7
2022/09/13 03:31,15.7,73,10.9,15.7
2022/09/13 03:36,15.7,73,10.9,15.7
2022/09/13 03:41,15.8,73,11.0,15.8
2022/09/13 03:46,15.8,74,11.2,15.8
2022/09/13 03:51,15.8,74,11.2,15.8
2022/09/13 03:56,15.9,74,11.3,15.9
2022/09/13 04:01,15.9,73,11.1,15.9
2022/09/13 04:06,15.8,73,11.0,15.8
2022/09/13 04:11,15.7,74,11.1,15.7
2022/09/13 04:16,15.6,74,11.0,15.6
2022/09/13 04:21,15.5,74,10.9,15.5
2022/09/13 04:26,15.4,74,10.8,15.4
2022/09/13 04:31,15.4,74,10.8,15.4
2022/09/13 04:36,15.5,74,10.9,15.5
2022/09/13 04:41,15.8,73,11.0,15.8
2022/09/13 04:46,16.1,72,11.1,16.1
2022/09/13 04:51,16.3,71,11.1,16.3
2022/09/13 04:56,16.6,70,11.1,16.6
2022/09/13 05:01,16.7,70,11.2,16.7
2022/09/13 05:06,16.9,69,11.2,16.9
2022/09/13 05:11,17.1,68,11.2,17.1
2022/09/13 05:16,17.1,68,11.2,17.1
2022/09/13 05:21,17.2,68,11.3,17.2
2022/09/13 05:26,17.2,68,11.3,17.2
2022/09/13 05:31,17.2,68,11.3,17.2
2022/09/13 05:36,17.2,68,11.3,17.2
2022/09/13 05:41,17.2,68,11.3,17.2
2022/09/13 05:46,17.1,68,11.2,17.1
2022/09/13 05:51,17.1,69,11.4,17.1
2022/09/13 05:56,17.1,69,11.4,17.1
