Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2022/09/07 09:51,22.6,73,17.5,22.6
2022/09/07 10:01,22.2,74,17.4,22.2
2022/09/07 10:06,22.0,74,17.2,22.0
2022/09/07 10:11,22.0,75,17.4,22.0
2022/09/07 10:16,22.3,75,17.7,22.3
2022/09/07 10:21,22.3,74,17.5,22.3
2022/09/07 10:26,22.4,74,17.6,22.4
2022/09/07 10:31,22.3,74,17.5,22.3
2022/09/07 10:36,22.3,74,17.5,22.3
2022/09/07 10:41,22.5,73,17.4,22.5
2022/09/07 10:46,22.7,72,17.4,22.7
2022/09/07 10:51,22.8,72,17.5,22.8
2022/09/07 10:56,23.0,72,17.7,23.0
2022/09/07 11:01,23.0,70,17.3,23.0
2022/09/07 11:06,23.2,70,17.5,23.2
2022/09/07 11:11,23.9,67,17.4,23.9
2022/09/07 11:16,24.3,64,17.1,24.3
2022/09/07 11:21,24.5,63,17.0,24.5
2022/09/07 11:26,24.5,60,16.3,24.5
2022/09/07 11:31,25.0,57,15.9,25.0
2022/09/07 11:36,25.0,57,15.9,25.0
2022/09/07 11:41,24.9,57,15.8,24.9
2022/09/07 11:46,25.1,56,15.7,25.1
2022/09/07 11:51,25.2,55,15.5,25.2
2022/09/07 11:56,25.2,54,15.3,25.2
2022/09/07 12:01,25.0,53,14.8,25.0
2022/09/07 12:06,24.8,53,14.6,24.8
2022/09/07 12:11,25.1,53,14.9,25.1
2022/09/07 12:16,25.5,51,14.7,25.5
2022/09/07 12:21,25.5,51,14.7,25.5
2022/09/07 12:26,25.3,51,14.5,25.3
2022/09/07 12:31,25.2,52,14.7,25.2
2022/09/07 12:36,25.0,53,14.8,25.0
2022/09/07 12:41,24.7,50,13.6,24.7
2022/09/07 12:46,24.7,51,13.9,24.7
2022/09/07 12:51,24.7,52,14.2,24.7
2022/09/07 12:56,24.6,50,13.5,24.6
2022/09/07 13:01,24.7,51,13.9,24.7
2022/09/07 13:06,24.7,50,13.6,24.7
2022/09/07 13:11,24.7,50,13.6,24.7
2022/09/07 13:16,24.8,48,13.1,24.8
2022/09/07 13:21,24.9,48,13.2,24.9
2022/09/07 13:26,25.3,48,13.5,25.3
2022/09/07 13:31,25.5,47,13.4,25.5
2022/09/07 13:36,25.7,47,13.6,25.7
2022/09/07 13:41,25.9,47,13.8,25.9
2022/09/07 13:46,26.0,46,13.5,26.0
2022/09/07 13:51,26.0,46,13.5,26.0
2022/09/07 13:56,25.9,44,12.7,25.9
2022/09/07 14:01,25.7,44,12.6,25.7
2022/09/07 14:06,25.5,46,13.1,25.5
2022/09/07 14:11,25.2,47,13.1,25.2
2022/09/07 14:16,25.0,47,12.9,25.0
2022/09/07 14:21,24.8,48,13.1,24.8
2022/09/07 14:26,24.8,49,13.4,24.8
2022/09/07 14:31,24.8,47,12.8,24.8
2022/09/07 14:36,25.0,49,13.6,25.0
2022/09/07 14:41,25.1,49,13.7,25.1
2022/09/07 14:46,25.3,49,13.9,25.3
2022/09/07 14:51,25.7,50,14.5,25.7
2022/09/07 14:56,25.8,49,14.3,25.8
2022/09/07 15:01,25.8,48,14.0,25.8
2022/09/07 15:06,25.7,49,14.2,25.7
2022/09/07 15:11,25.5,49,14.0,25.5
2022/09/07 15:16,25.3,49,13.9,25.3
2022/09/07 15:21,25.1,50,14.0,25.1
2022/09/07 15:26,25.1,50,14.0,25.1
2022/09/07 15:31,25.2,50,14.1,25.2
2022/09/07 15:36,25.3,50,14.2,25.3
2022/09/07 15:41,25.3,50,14.2,25.3
2022/09/07 15:46,25.1,50,14.0,25.1
2022/09/07 15:51,24.9,50,13.8,24.9
2022/09/07 15:56,24.9,50,13.8,24.9
2022/09/07 16:01,24.8,50,13.7,24.8
2022/09/07 16:06,24.5,50,13.4,24.5
2022/09/07 16:11,24.3,51,13.5,24.3
2022/09/07 16:16,24.3,51,13.5,24.3
2022/09/07 16:21,24.4,51,13.6,24.4
2022/09/07 16:26,24.4,51,13.6,24.4
2022/09/07 16:31,24.4,51,13.6,24.4
2022/09/07 16:36,24.2,52,13.8,24.2
2022/09/07 16:41,24.0,52,13.6,24.0
2022/09/07 16:46,23.8,52,13.4,23.8
2022/09/07 16:51,23.7,53,13.6,23.7
2022/09/07 16:56,23.5,53,13.4,23.5
2022/09/07 17:01,23.3,54,13.5,23.3
2022/09/07 17:06,23.4,55,13.9,23.4
2022/09/07 17:11,23.5,55,14.0,23.5
2022/09/07 17:16,23.4,56,14.2,23.4
2022/09/07 17:21,23.2,56,14.0,23.2
2022/09/07 17:26,22.9,57,14.0,22.9
2022/09/07 17:31,22.8,57,13.9,22.8
2022/09/07 17:36,22.5,57,13.6,22.5
2022/09/07 17:41,22.4,58,13.8,22.4
2022/09/07 17:46,22.2,58,13.6,22.2
2022/09/07 17:51,22.0,59,13.6,22.0
2022/09/07 17:56,22.0,60,13.9,22.0
2022/09/07 18:01,21.9,60,13.8,21.9
2022/09/07 18:06,21.8,60,13.7,21.8
2022/09/07 18:16,21.4,61,13.6,21.4
2022/09/07 18:21,21.3,61,13.5,21.3
2022/09/07 18:26,21.2,62,13.7,21.2
2022/09/07 18:31,21.1,62,13.6,21.1
2022/09/07 18:36,21.0,62,13.5,21.0
2022/09/07 18:41,20.9,63,13.6,20.9
2022/09/07 18:46,20.8,63,13.5,20.8
2022/09/07 18:51,20.8,63,13.5,20.8
2022/09/07 18:56,20.7,63,13.4,20.7
2022/09/07 19:01,20.7,64,13.7,20.7
2022/09/07 19:06,20.7,64,13.7,20.7
2022/09/07 19:11,20.6,64,13.6,20.6
2022/09/07 19:16,20.6,64,13.6,20.6
2022/09/07 19:21,20.5,65,13.7,20.5
2022/09/07 19:26,20.4,65,13.6,20.4
2022/09/07 19:31,20.3,65,13.5,20.3
2022/09/07 19:36,20.1,66,13.6,20.1
2022/09/07 19:41,20.1,67,13.8,20.1
2022/09/07 19:46,20.0,68,13.9,20.0
2022/09/07 19:51,19.9,68,13.8,19.9
2022/09/07 19:56,19.8,68,13.7,19.8
2022/09/07 20:01,19.6,68,13.6,19.6
2022/09/07 20:06,19.5,69,13.7,19.5
2022/09/07 20:11,19.4,70,13.8,19.4
2022/09/07 20:16,19.3,71,13.9,19.3
2022/09/07 20:21,19.2,70,13.6,19.2
2022/09/07 20:26,19.1,71,13.7,19.1
2022/09/07 20:31,18.9,71,13.6,18.9
2022/09/07 20:36,18.9,71,13.6,18.9
2022/09/07 20:41,18.8,72,13.7,18.8
2022/09/07 20:46,18.7,72,13.6,18.7
2022/09/07 20:51,18.6,73,13.7,18.6
2022/09/07 20:56,18.5,73,13.6,18.5
2022/09/07 21:01,18.4,73,13.5,18.4
2022/09/07 21:06,18.3,74,13.6,18.3
2022/09/07 21:11,18.2,74,13.5,18.2
2022/09/07 21:16,18.1,74,13.4,18.1
2022/09/07 21:21,18.0,75,13.5,18.0
2022/09/07 21:26,18.0,75,13.5,18.0
2022/09/07 21:31,17.9,75,13.4,17.9
2022/09/07 21:36,17.8,75,13.3,17.8
2022/09/07 21:41,17.8,76,13.5,17.8
2022/09/07 21:46,17.7,76,13.4,17.7
2022/09/07 21:51,17.7,76,13.4,17.7
2022/09/07 21:56,17.6,76,13.3,17.6
2022/09/07 22:01,17.6,77,13.5,17.6
2022/09/07 22:06,17.5,77,13.4,17.5
2022/09/07 22:11,17.5,77,13.4,17.5
2022/09/07 22:16,17.5,77,13.4,17.5
2022/09/07 22:21,17.6,77,13.5,17.6
2022/09/07 22:26,17.6,77,13.5,17.6
2022/09/07 22:31,17.6,77,13.5,17.6
2022/09/07 22:36,17.7,77,13.6,17.7
2022/09/07 22:41,17.7,77,13.6,17.7
2022/09/07 22:46,17.8,77,13.7,17.8
2022/09/07 22:51,17.8,77,13.7,17.8
2022/09/07 22:56,17.9,77,13.8,17.9
2022/09/07 23:01,17.9,77,13.8,17.9
2022/09/07 23:06,17.9,77,13.8,17.9
2022/09/07 23:11,18.0,77,13.9,18.0
2022/09/07 23:16,18.1,77,14.0,18.1
2022/09/07 23:21,18.1,77,14.0,18.1
2022/09/07 23:26,18.1,77,14.0,18.1
2022/09/07 23:31,18.2,77,14.1,18.2
2022/09/07 23:36,18.2,77,14.1,18.2
2022/09/07 23:41,18.2,76,13.9,18.2
2022/09/07 23:46,18.2,76,13.9,18.2
2022/09/07 23:51,18.2,76,13.9,18.2
2022/09/07 23:56,18.2,76,13.9,18.2
2022/09/08 00:01,18.3,76,14.0,18.3
2022/09/08 00:06,18.3,77,14.2,18.3
2022/09/08 00:11,18.3,76,14.0,18.3
2022/09/08 00:16,18.3,76,14.0,18.3
2022/09/08 00:21,18.2,76,13.9,18.2
2022/09/08 00:26,18.2,76,13.9,18.2
2022/09/08 00:31,18.2,76,13.9,18.2
2022/09/08 00:36,18.1,76,13.8,18.1
2022/09/08 00:41,18.0,77,13.9,18.0
2022/09/08 00:46,17.9,77,13.8,17.9
2022/09/08 00:51,17.8,78,13.9,17.8
2022/09/08 00:56,17.7,78,13.8,17.7
2022/09/08 01:01,17.6,78,13.7,17.6
2022/09/08 01:06,17.6,78,13.7,17.6
2022/09/08 01:11,17.5,79,13.8,17.5
2022/09/08 01:16,17.5,79,13.8,17.5
2022/09/08 01:21,17.5,79,13.8,17.5
2022/09/08 01:26,17.5,79,13.8,17.5
2022/09/08 01:31,17.5,80,14.0,17.5
2022/09/08 01:36,17.5,80,14.0,17.5
2022/09/08 01:41,17.5,80,14.0,17.5
2022/09/08 01:46,17.5,80,14.0,17.5
2022/09/08 01:51,17.5,80,14.0,17.5
2022/09/08 01:56,17.6,80,14.1,17.6
2022/09/08 02:01,17.6,80,14.1,17.6
2022/09/08 02:06,17.6,80,14.1,17.6
2022/09/08 02:11,17.6,80,14.1,17.6
2022/09/08 02:16,17.6,80,14.1,17.6
2022/09/08 02:21,17.6,80,14.1,17.6
2022/09/08 02:26,17.6,80,14.1,17.6
2022/09/08 02:31,17.7,80,14.2,17.7
2022/09/08 02:36,17.7,80,14.2,17.7
2022/09/08 02:41,17.8,80,14.3,17.8
2022/09/08 02:46,17.8,80,14.3,17.8
2022/09/08 02:51,17.8,80,14.3,17.8
2022/09/08 02:56,17.8,79,14.1,17.8
2022/09/08 03:01,17.8,79,14.1,17.8
2022/09/08 03:06,17.9,78,14.0,17.9
2022/09/08 03:11,17.9,78,14.0,17.9
2022/09/08 03:16,18.0,78,14.1,18.0
2022/09/08 03:21,17.9,78,14.0,17.9
2022/09/08 03:26,17.9,78,14.0,17.9
2022/09/08 03:31,17.9,78,14.0,17.9
2022/09/08 03:36,17.8,79,14.1,17.8
2022/09/08 03:41,17.7,80,14.2,17.7
2022/09/08 03:46,17.6,80,14.1,17.6
2022/09/08 03:51,17.5,81,14.2,17.5
2022/09/08 03:56,17.4,82,14.3,17.4
2022/09/08 04:01,17.3,83,14.4,17.3
2022/09/08 04:06,17.2,83,14.3,17.2
2022/09/08 04:11,17.1,84,14.4,17.1
2022/09/08 04:16,17.0,84,14.3,17.0
2022/09/08 04:21,16.9,85,14.4,16.9
2022/09/08 04:26,16.9,85,14.4,16.9
2022/09/08 04:31,16.9,85,14.4,16.9
2022/09/08 04:36,16.9,86,14.6,16.9
2022/09/08 04:41,16.9,87,14.7,16.9
2022/09/08 04:46,16.8,87,14.6,16.8
