Time,Temperature(C),Humidity(%),Dewpoint(C),HeatIndex(C)
2022/09/07 09:51,24.4,57,15.4,24.4
2022/09/07 10:01,24.3,57,15.3,24.3
2022/09/07 10:06,24.4,58,15.6,24.4
2022/09/07 10:11,24.4,58,15.6,24.4
2022/09/07 10:16,24.4,57,15.4,24.4
2022/09/07 10:21,24.4,57,15.4,24.4
2022/09/07 10:26,24.4,57,15.4,24.4
2022/09/07 10:31,24.4,57,15.4,24.4
2022/09/07 10:36,24.4,57,15.4,24.4
2022/09/07 10:41,24.4,57,15.4,24.4
2022/09/07 10:46,24.4,57,15.4,24.4
2022/09/07 10:51,24.4,57,15.4,24.4
2022/09/07 10:56,24.4,57,15.4,24.4
2022/09/07 11:01,24.4,57,15.4,24.4
2022/09/07 11:06,24.4,57,15.4,24.4
2022/09/07 11:11,24.4,57,15.4,24.4
2022/09/07 11:16,24.4,57,15.4,24.4
2022/09/07 11:21,24.4,57,15.4,24.4
2022/09/07 11:26,24.4,57,15.4,24.4
2022/09/07 11:31,24.4,57,15.4,24.4
2022/09/07 11:36,24.4,57,15.4,24.4
2022/09/07 11:41,24.4,57,15.4,24.4
2022/09/07 11:46,24.4,57,15.4,24.4
2022/09/07 11:51,24.4,56,15.1,24.4
2022/09/07 11:56,24.4,56,15.1,24.4
2022/09/07 12:01,24.4,56,15.1,24.4
2022/09/07 12:06,24.3,56,15.0,24.3
2022/09/07 12:11,24.4,56,15.1,24.4
2022/09/07 12:16,24.4,56,15.1,24.4
2022/09/07 12:21,24.4,56,15.1,24.4
2022/09/07 12:26,24.3,56,15.0,24.3
2022/09/07 12:31,24.3,56,15.0,24.3
2022/09/07 12:36,24.3,55,14.7,24.3
2022/09/07 12:41,24.3,55,14.7,24.3
2022/09/07 12:46,24.3,55,14.7,24.3
2022/09/07 12:51,24.3,55,14.7,24.3
2022/09/07 12:56,24.3,55,14.7,24.3
2022/09/07 13:01,24.3,55,14.7,24.3
2022/09/07 13:06,24.3,55,14.7,24.3
2022/09/07 13:11,24.3,55,14.7,24.3
2022/09/07 13:16,24.4,55,14.8,24.4
2022/09/07 13:21,24.4,55,14.8,24.4
2022/09/07 13:26,24.4,55,14.8,24.4
2022/09/07 13:31,24.4,55,14.8,24.4
2022/09/07 13:36,24.4,55,14.8,24.4
2022/09/07 13:41,24.4,55,14.8,24.4
2022/09/07 13:46,24.4,55,14.8,24.4
2022/09/07 13:51,24.3,55,14.7,24.3
2022/09/07 13:56,24.4,55,14.8,24.4
2022/09/07 14:01,24.4,55,14.8,24.4
2022/09/07 14:06,24.4,55,14.8,24.4
2022/09/07 14:11,24.4,55,14.8,24.4
2022/09/07 14:16,24.4,55,14.8,24.4
2022/09/07 14:21,24.4,55,14.8,24.4
